player,team,league,season,position_group,cluster,archetype,pca_x,pca_y,goals_p90,assists_p90,xG_p90,xA_p90,shots_p90,key_passes_p90,xGChain_p90,xGBuildup_p90,shot_conversion,finishing_over_xG,creation_over_xA,discipline_p90,involvement_index
Diego Carlos,Sevilla,La Liga,1920,DEF,0,Defensive Anchor,-1.8611074452710163,-0.2652333159696638,0.05736137665476056,0.0,0.05799301510812388,0.0159455276618739,0.6022944548749859,0.2581261949464225,0.21713825904506315,0.213897708168979,0.09523809070294806,-0.0006316384533633229,-0.0159455276618739,0.20076481829166196,0.21551798360702107
Nemanja Maksimovic,Getafe,La Liga,1920,FWD,0,Defensive Anchor,-1.7328345773042817,-0.3987654181956302,0.06200482257595425,0.0,0.10041812721669928,0.020074050220483988,1.0540819837912223,0.43403375803167976,0.22878261100636416,0.13925042902008167,0.05882352768166096,-0.03841330464074503,-0.020074050220483988,0.15501205643988564,0.1840165200132229
Leandro Cabrera,"Espanyol,Getafe",La Liga,1920,DEF,2,Efficient Impact Player,-1.9534585840658691,-0.9768491939318823,0.05874673627325498,0.02937336813662749,0.0634471536650093,0.038865645845349024,0.3231070495029024,0.2643603132296474,0.15272618476155883,0.12833185269085315,0.1818181652892577,-0.004700417391754322,-0.009492277708721533,0.14686684068313746,0.140529018726206
Pau Torres,Villarreal,La Liga,1920,DEF,2,Efficient Impact Player,-0.7450889092648714,0.1467556690106019,0.060585661373077866,0.030292830686538933,0.05232693488415103,0.06327834373165576,0.30292830686538935,0.3332211375519283,0.3435315613023101,0.3399101744548004,0.19999998000000202,0.008258726488926837,-0.032985513045116835,0.1817569841192336,0.34172086787855527
Federico Valverde,Real Madrid,La Liga,1920,FWD,4,Deep-Lying Playmaker,1.6124093324555782,1.5898665450018783,0.09488666310232648,0.23721665775581618,0.09434826438814224,0.16866189147290278,1.0437532941255911,0.9488666310232647,0.5542500777627025,0.3257136605141263,0.09090908677685969,0.000538398714184235,0.0685547662829134,0.04744333155116324,0.4399818691384144
Franck Zambo,Villarreal,La Liga,1920,MID,4,Deep-Lying Playmaker,-0.31828561965593855,1.0493043172793797,0.06971340043775624,0.0,0.1026948015540046,0.021468657727885018,1.0457010065663437,0.592563903720928,0.4660536720481568,0.39404440230320514,0.06666666444444451,-0.03298140111624835,-0.021468657727885018,0.20914020131326871,0.430049037175681
José Arnáiz,"Leganes,Osasuna",La Liga,1920,FWD,1,Volume Forward,-0.1988106185826479,-0.9844018643357947,0.1626016258693752,0.0813008129346876,0.17794142090125448,0.08140176209286756,2.5203252009753156,1.219512194020314,0.2608488868776581,0.06508802989206038,0.06451612695109267,-0.015339795031879266,-0.0001009491581799582,0.3252032517387504,0.16296845838485924
Kiko Olivas,Real Valladolid,La Liga,1920,DEF,2,Efficient Impact Player,-2.2103156928952856,-1.4198538103627933,0.06134969323062383,0.0,0.04342942368587316,0.0035736087034703603,0.27607361953780724,0.09202453984593574,0.13147914851962517,0.12816593300845203,0.22222219753086697,0.01792026954475067,-0.0035736087034703603,0.06134969323062383,0.1298225407640386
Rubén Alcaraz,Real Valladolid,La Liga,1920,MID,0,Defensive Anchor,-0.8588712871795174,0.12415841046917794,0.0936524453206803,0.0936524453206803,0.09659724052074756,0.03865770504200903,1.545265347791225,0.7492195625654424,0.28209963581179676,0.20452013751462741,0.060606058769513374,-0.0029447952000672545,0.054994740278671274,0.4682622266034015,0.24330988666321207
Gonzalo Melero,Levante,La Liga,1920,FWD,1,Volume Forward,0.3369820929568376,-0.006831807585504688,0.14574898773623562,0.07287449386811781,0.22178923528072533,0.14529530334809765,1.3117408896261207,0.8744939264174137,0.4149181704308257,0.20778213177200242,0.11111110493827195,-0.07604024754448971,-0.07242080947997984,0.29149797547247125,0.31135015110141406
Sergio Reguilón,Sevilla,La Liga,1920,DEF,1,Volume Forward,0.36089972057194625,0.9458978885400707,0.07171314738178759,0.14342629476357519,0.08820638394706379,0.14684522390986215,1.0039840633450263,1.4342629476357518,0.3969871190713259,0.22989958665446752,0.07142856887755111,-0.016493236565276195,-0.0034189291462869698,0.28685258952715037,0.3134433528628967
Joaquín Fernández,Real Valladolid,La Liga,1920,DEF,2,Efficient Impact Player,-2.534731734719803,-1.8301490764992443,0.10830324903230851,0.0,0.032888807753478626,0.004948778915526247,0.5415162451615425,0.21660649806461701,0.09840344684833956,0.09523746454300361,0.19999998000000202,0.07541444127882987,-0.004948778915526247,0.48736462064538827,0.09682045569567158
Yangel Herrera,Granada,La Liga,1920,MID,0,Defensive Anchor,-1.1138287342908084,0.05132279210948852,0.07506255209547016,0.11259382814320525,0.05969013612763537,0.07903264633333246,1.2385321095752577,0.6755629688592315,0.2596210643228235,0.15857350689001434,0.060606058769513374,0.015372415967834792,0.03356118180987279,0.5254378646682911,0.20909728560641894
Frenkie de Jong,Barcelona,La Liga,1920,MID,4,Deep-Lying Playmaker,1.5872226775789755,-0.1448209630663275,0.08466603947099434,0.08466603947099434,0.05428766899292254,0.11795478453874889,0.16933207894198868,1.0583254933874293,0.5686990636935159,0.459759467435747,0.49999987500003124,0.0303783704780718,-0.03328874506775455,0.12699905920649152,0.5142292655646314
Germán Sánchez,Granada,La Liga,1920,DEF,2,Efficient Impact Player,-2.4462963461879017,-1.4122519015357116,0.07829491079673993,0.0,0.05075989899753255,0.018525528160493167,0.3914745539836997,0.19573727699184984,0.1318347863619817,0.11872636715458142,0.19999998000000202,0.027535011799207386,-0.018525528160493167,0.46976946478043957,0.12528057675828155
Rodrygo,Real Madrid,La Liga,1920,FWD,4,Deep-Lying Playmaker,1.4964831461468495,0.5808539762938244,0.1752677700338191,0.0,0.2718036684454759,0.11759833839335641,1.4021421602705528,1.2268743902367336,0.5791981124864969,0.37495312383189583,0.12499999218750048,-0.09653589841165677,-0.11759833839335641,0.0,0.47707561815919636
Iñigo Pérez,Osasuna,La Liga,1920,DEF,4,Deep-Lying Playmaker,0.3093645071519446,-0.07511168201143771,0.16917293217182994,0.08458646608591497,0.09099079508892786,0.053840331591593425,1.6071428556323843,1.2687969912887245,0.37789321111893315,0.27621389543796726,0.10526315235457093,0.07818213708290207,0.030746134494321543,0.3383458643436599,0.3270535532784502
Gabriel,Valencia,La Liga,1920,DEF,0,Defensive Anchor,-1.8012395089869486,0.09193040772603933,0.032108455215087955,0.032108455215087955,0.028413085315288696,0.000861483515117974,0.25686764172070364,0.032108455215087955,0.25699502921522466,0.25699502921522466,0.12499998437500197,0.00369536989979926,0.031246971699969983,0.16054227607543978,0.25699502921522466
